Console,Title,Loose Price,CIB Price
NES,Knight Rider,$13.46,$29.75
NES,Pac-Man [Namco],$12.59,$30.87
NES,Cool World,$125.02,$364.99
NES,American Gladiators,$11.34,$41.99
NES,Legend of Kage,$11.29,$51.50
NES,Mario Bros [5 Screw],$35.00,$307.68
NES,Phantom Fighter,$14.57,$47.90
NES,Town & Country II: Thrilla's Surfari,$29.91,$194.99
NES,Hydlide,$7.86,$30.29
NES,Win Lose or Draw,$7.31,$19.63
NES,Caveman Games,$14.96,$52.15
NES,Wurm Journey to the Center of the Earth,$36.66,$88.99
NES,Xevious,$7.97,$22.35
NES,Power Punch II,$29.95,$95.00
NES,Wizards and Warriors III Kuros Visions of Power,$27.99,$113.65
NES,Golf Grand Slam,$42.25,$76.00
NES,Cabal,$15.02,$63.19
NES,Mendel Palace,$20.00,$56.14
NES,Kung Fu [5 Screw],$14.99,$129.46
NES,Captain America and the Avengers,$38.99,$210.00
NES,Genghis Khan,$18.99,$56.45
NES,Amagon,$11.69,$36.80
NES,Magic Johnson's Fast Break,$6.12,$21.65
NES,Race America,$117.50,$231.75
NES,Section Z,$11.49,$70.27
NES,Star Trek 25th Anniversary,$19.79,$45.00
NES,Cleaning Kit,$12.95,$18.92
NES,Circus Caper,$15.49,$69.99
NES,Captain Comic,$19.79,$49.99
NES,MUSCLE,$20.00,$99.97
NES,Prince of Persia,$35.00,$95.21
NES,Uncharted Waters,$80.43,$186.61
NES,WCW World Championship Wrestling,$11.80,$83.00
NES,Alien 3,$42.45,$112.57
NES,After Burner,$12.05,$53.98
NES,Dr Chaos,$12.44,$59.99
NES,Widget,$78.66,$293.76
NES,Adventures of Rad Gravity,$24.95,$67.88
NES,Bump 'n' Jump,$8.84,$50.45
NES,MTV Remote Control,$6.15,$31.50
NES,Mach Rider,$10.12,$97.64
NES,Joe and Mac,$21.80,$71.28
NES,Bill Elliott's NASCAR Challenge,$7.99,$39.34
NES,Taboo the Sixth Sense,$13.02,$35.01
NES,Freedom Force,$22.77,$54.62
NES,Tecmo World Wrestling,$12.15,$38.48
NES,Terminator,$54.62,$236.38
NES,Rescue the Embassy Mission,$8.98,$34.09
NES,Goal,$4.64,$20.01
NES,Faria,$106.18,$299.99
NES,Super Mario Bros 2J [Homebrew],$49.95,$535.10
NES,3D WorldRunner,$9.74,$49.99
NES,Battle Chess,$10.75,$37.89
NES,Isolated Warrior,$48.90,$119.99
NES,Starship Hector,$22.58,$38.48
NES,Super Team Games,$7.46,$24.28
NES,Alfred Chicken,$104.96,$379.95
NES,Stealth,$7.36,$19.99
NES,Lee Trevino's Fighting Golf,$4.69,$19.33
NES,Alien Syndrome,$15.49,$55.25
NES,Mappy-Land,$15.78,$49.87
NES,The Last Ninja,$36.42,$111.03
NES,Tom and Jerry,$12.54,$56.50
NES,Rocket Ranger,$7.43,$29.56
NES,Ikari Warriors III,$40.83,$120.50
NES,Roger Clemens' MVP Baseball,$5.48,$22.91
NES,Ms. Pac-Man [Tengen],$14.28,$34.02
NES,Nintendo Campus Challenge 1991,"$17,050.00",
NES,Nintendo NES Sports Set Console,$149.99,$354.60
NES,Robo Warrior,$10.12,$48.92
NES,Wrecking Crew [5 Screw],$25.48,$117.50
NES,NES Satellite 4 Controller Port,$27.82,$65.57
NES,Baseball [5 Screw],$8.99,$80.84
NES,Bible Buffet,$88.44,$153.38
NES,Mechanized Attack,$33.91,$64.95
NES,Paperboy 2,$18.91,$50.12
NES,Peter Pan and the Pirates,$16.75,$50.78
NES,Ultima Warriors of Destiny,$72.73,$163.03
NES,Castle of Dragon,$19.98,$66.11
NES,Cobra Command,$9.50,$46.85
NES,Young Indiana Jones Chronicles,$99.97,$265.50
NES,Archon,$12.91,$40.00
NES,Athena,$14.99,$54.92
NES,Klax,$13.43,$30.42
NES,Mutant Virus,$48.25,$105.78
NES,Pinball Quest,$9.46,$29.00
NES,RBI Baseball 2,$10.07,$22.99
NES,Trojan,$8.89,$66.62
NES,Super Spike Volleyball and World Cup Soccer,$5.45,$17.71
NES,Ikari Warriors II,$9.61,$51.78
NES,Big Nose the Caveman,$15.04,$44.12
NES,Bigfoot,$9.61,$45.94
NES,Kid Icarus [5 Screw],$29.36,$141.00
NES,Alfonzo's Arctic Adventure [Homebrew],$74.91,
NES,Analogue NT Mini Noir,"$1,199.50","$1,220.67"
NES,Fantastic Adventures of Dizzy,$13.30,$39.46
NES,Pro Sports Hockey,$199.56,$660.69
NES,Ghosts 'n Goblins [5 Screw],$18.33,$104.50
NES,Low G Man,$11.27,$34.99
NES,Lunar Pool,$6.19,$21.40
NES,The Rocketeer,$14.07,$66.68
NES,Castlevania [5 Screw],$36.50,$175.00
NES,Gemfire,$131.63,$257.41
NES,Laser Invasion,$19.99,$76.94
NES,Rock 'n Ball,$7.98,$32.00
NES,Tennis,$12.49,$90.00
NES,Videomation,$11.34,$32.49
NES,Vindicators,$9.99,$30.25
NES,Wizardry: Proving Grounds of the Mad Overlord,$21.85,$65.82
NES,Addams Family Pugsley's Scavenger Hunt,$85.00,$209.71
NES,Blues Brothers,$48.40,$165.65
NES,Puss N' Boots: Pero's Great Adventure,$17.99,$60.28
NES,Infiltrator,$6.49,$28.85
NES,Nobunaga's Ambition,$21.95,$63.80
NES,Arch Rivals,$10.51,$39.99
NES,Heavy Barrel,$18.50,$66.02
NES,Hogan's Alley [5 Screw],$13.67,$99.00
NES,Elevator Action,$15.67,$83.00
NES,Exodus Journey to the Promised Land,$17.00,$46.25
NES,Formula One Built To Win,$41.67,$103.50
NES,Metal Mech,$17.98,$62.50
NES,Motor City Patrol,$64.99,$193.42
NES,Tecmo Baseball,$7.70,$21.46
NES,Muppet Adventure,$15.00,$50.92
NES,Desert Commander,$7.99,$30.80
NES,Donkey Kong Jr Math [5 Screw],$177.90,"$2,100.00"
NES,Duck Tales [Gold Cartridge],,"$15,032.25"
NES,Gumshoe,$17.37,$164.81
NES,Punch-Out [Classic Series],$16.57,$55.37
NES,Space Shuttle Project,$23.75,$75.00
NES,Thunder and Lightning,$17.99,$52.49
NES,Iron Tank,$9.54,$28.89
NES,Slalom,$11.73,$119.37
NES,Ultima Quest of the Avatar,$25.50,$84.75
